Testes Data Hora CpuPercent QntCpus CpuTimesUser CpuTimesSystem CpuTimesIdle MemTotal MemAvaliable MemUsed DiskUsed DiskTotal DiskPercent BytesSend BytesRecv
75 23/03/28 01:36:21 4 4 3993660 1146230 33767470 3892952 1475436 2417516 0 0 NaN 69120586 309565838 
76 23/03/28 01:36:25 0 4 3993770 1146380 33781080 3892952 1477176 2415776 0 0 NaN 69121009 309566134 
77 23/03/28 01:36:28 0 4 3993850 1146540 33794770 3892952 1472892 2420060 0 0 NaN 69121009 309566238 
78 23/03/28 01:36:32 3.98 4 3993980 1146730 33808360 3892952 1483044 2409908 0 0 NaN 69121181 309566402 
79 23/03/28 01:36:35 0.5 4 3994110 1146870 33821940 3892952 1487756 2405196 0 0 NaN 69121181 309566506 
80 23/03/28 01:36:39 1.49 4 3994240 1147040 33835620 3892952 1482720 2410232 0 0 NaN 69121540 309566761 
81 23/03/28 01:36:42 12.56 4 3994380 1147240 33849020 3892952 1479444 2413508 0 0 NaN 69121610 309569559 
82 23/03/28 01:36:46 51.5 4 3994760 1147680 33853290 3892952 1466292 2426660 0 0 NaN 69122294 309569663 
83 23/03/28 01:36:49 0.5 4 3995020 1147910 33865490 3892952 1458592 2434360 0 0 NaN 69123323 309570253 
84 23/03/28 01:36:53 3.03 4 3995160 1148080 33879020 3892952 1458592 2434360 0 0 NaN 69123323 309570305 
85 23/03/28 01:36:56 0.5 4 3995340 1148250 33892650 3892952 1457584 2435368 0 0 NaN 69123744 309570738 
86 23/03/28 01:37:00 0.5 4 3995480 1148440 33906070 3892952 1466392 2426560 0 0 NaN 69123744 309570842 
87 23/03/28 01:37:03 3.05 4 3995630 1148700 33919580 3892952 1461352 2431600 0 0 NaN 69123744 309570946 
88 23/03/28 01:37:07 0.5 4 3995760 1148870 33933230 3892952 1459592 2433360 0 0 NaN 69123814 309571058 
89 23/03/28 01:37:10 1.99 4 3995940 1149040 33946840 3892952 1456316 2436636 0 0 NaN 69123814 309571162 
90 23/03/28 01:37:14 9.45 4 3996120 1149240 33960310 3892952 1454076 2438876 0 0 NaN 69123814 309573900 
91 23/03/28 01:37:17 1.49 4 3996280 1149400 33973980 3892952 1457800 2435152 0 0 NaN 69123884 309576766 
92 23/03/28 01:37:21 1.49 4 3996450 1149540 33987630 3892952 1453516 2439436 0 0 NaN 69123884 309576818 
93 23/03/28 01:37:24 3.05 4 3996600 1149750 34001240 3892952 1448984 2443968 0 0 NaN 69123884 309576922 
94 23/03/28 01:37:28 0.5 4 3996740 1149880 34014890 3892952 1455260 2437692 0 0 NaN 69124211 309577289 
95 23/03/28 01:37:31 0 4 3996860 1150040 34028570 3892952 1450976 2441976 0 0 NaN 69124211 309577393 
96 23/03/28 01:37:35 3.52 4 3997000 1150250 34042180 3892952 1460644 2432308 0 0 NaN 69124211 309577487 
97 23/03/28 01:37:38 0 4 3997120 1150400 34055820 3892952 1457148 2435804 0 0 NaN 69124281 309577651 
98 23/03/28 01:37:42 1 4 3997280 1150580 34069480 3892952 1455892 2437060 0 0 NaN 69124281 309577755 
99 23/03/28 01:37:45 4 4 3997420 1150760 34083080 3892952 1451356 2441596 0 0 NaN 69124538 309580696 
100 23/03/28 01:37:49 0.5 4 3997550 1150890 34096760 3892952 1450880 2442072 0 0 NaN 69124608 309580808 
