DATA_ATUAL HORA_ATUAL PID  MEMTOTAL %CPU %MEM TIME MSECOND
2023-03-28 01:33:55 38043 3892952  4.6  2.7 00:00:05 16565000
2023-03-28 01:33:56 38043 3892952  4.5  2.7 00:00:05 16205000
2023-03-28 01:33:57 38043 3892952  4.5  2.7 00:00:05 16205000
2023-03-28 01:33:58 38043 3892952  4.5  2.7 00:00:05 16205000
2023-03-28 01:33:59 38043 3892952  4.5  2.7 00:00:05 16205000
2023-03-28 01:34:00 38043 3892952  4.4  2.7 00:00:05 1.5845e+07
2023-03-28 01:34:01 38043 3892952  4.4  2.7 00:00:05 1.5845e+07
2023-03-28 01:34:02 38043 3892952  4.3  2.7 00:00:05 15485000
2023-03-28 01:34:03 38043 3892952  4.3  2.7 00:00:05 15485000
2023-03-28 01:34:04 38043 3892952  4.3  2.7 00:00:05 15485000
2023-03-28 01:34:05 38043 3892952  4.3  2.7 00:00:05 15485000
2023-03-28 01:34:06 38043 3892952  4.2  2.7 00:00:05 15125000
2023-03-28 01:34:08 38043 3892952  4.2  2.7 00:00:05 15125000
2023-03-28 01:34:09 38043 3892952  4.2  2.7 00:00:05 15125000
2023-03-28 01:34:10 38043 3892952  4.1  2.7 00:00:05 1.4765e+07
2023-03-28 01:34:11 38043 3892952  4.1  2.7 00:00:05 1.4765e+07
2023-03-28 01:34:12 38043 3892952  4.1  2.7 00:00:05 1.4765e+07
2023-03-28 01:34:13 38043 3892952  4.0  2.7 00:00:05 14405000
2023-03-28 01:34:14 38043 3892952  4.0  2.7 00:00:05 14405000
2023-03-28 01:34:15 38043 3892952  4.0  2.8 00:00:05 14405000
2023-03-28 01:34:16 38043 3892952  4.0  2.8 00:00:05 14405000
2023-03-28 01:34:17 38043 3892952  3.9  2.8 00:00:05 14045000
2023-03-28 01:34:18 38043 3892952  3.9  2.8 00:00:05 14045000
2023-03-28 01:34:19 38043 3892952  3.9  2.8 00:00:05 14045000
2023-03-28 01:34:20 38043 3892952  3.8  2.8 00:00:05 13685000
2023-03-28 01:34:21 38043 3892952  3.8  2.8 00:00:05 13685000
2023-03-28 01:34:22 38043 3892952  3.8  2.8 00:00:05 13685000
2023-03-28 01:34:23 38043 3892952  3.8  2.8 00:00:05 13685000
2023-03-28 01:34:24 38043 3892952  3.7  2.8 00:00:05 13325000
2023-03-28 01:34:25 38043 3892952  3.7  2.8 00:00:05 13325000
2023-03-28 01:34:26 38043 3892952  3.7  2.8 00:00:05 13325000
2023-03-28 01:34:27 38043 3892952  3.7  2.8 00:00:05 13325000
2023-03-28 01:34:29 38043 3892952  3.6  2.8 00:00:05 12965000
2023-03-28 01:34:30 38043 3892952  3.6  2.8 00:00:05 12965000
2023-03-28 01:34:31 38043 3892952  3.6  2.8 00:00:05 12965000
2023-03-28 01:34:32 38043 3892952  3.6  2.8 00:00:05 12965000
2023-03-28 01:34:33 38043 3892952  3.6  2.8 00:00:05 12965000
2023-03-28 01:34:34 38043 3892952  3.5  2.8 00:00:05 12605000
2023-03-28 01:34:35 38043 3892952  3.5  2.8 00:00:05 12605000
2023-03-28 01:34:36 38043 3892952  3.5  2.8 00:00:05 12605000
2023-03-28 01:34:37 38043 3892952  3.5  2.8 00:00:05 12605000
2023-03-28 01:34:38 38043 3892952  3.4  2.8 00:00:05 12245000
2023-03-28 01:34:39 38043 3892952  3.4  2.8 00:00:05 12245000
2023-03-28 01:34:40 38043 3892952  3.4  2.8 00:00:05 12245000
2023-03-28 01:34:41 38043 3892952  3.4  2.8 00:00:05 12245000
2023-03-28 01:34:42 38043 3892952  3.4  2.8 00:00:05 12245000
2023-03-28 01:34:43 38043 3892952  3.3  2.8 00:00:05 11885000
2023-03-28 01:34:44 38043 3892952  3.3  2.8 00:00:05 11885000
2023-03-28 01:34:45 38043 3892952  3.3  2.8 00:00:05 11885000
2023-03-28 01:34:46 38043 3892952  3.3  2.8 00:00:05 11885000
2023-03-28 01:34:48 38043 3892952  3.3  2.8 00:00:05 11885000
2023-03-28 01:34:49 38043 3892952  3.3  2.8 00:00:05 11885000
2023-03-28 01:34:50 38043 3892952  3.2  2.8 00:00:05 11525000
2023-03-28 01:34:51 38043 3892952  3.2  2.8 00:00:05 11525000
2023-03-28 01:34:52 38043 3892952  3.2  2.8 00:00:05 11525000
2023-03-28 01:34:53 38043 3892952  3.2  2.8 00:00:05 11525000
2023-03-28 01:34:54 38043 3892952  3.2  2.8 00:00:05 11525000
2023-03-28 01:34:55 38043 3892952  3.2  2.8 00:00:05 11525000
2023-03-28 01:34:56 38043 3892952  3.1  2.8 00:00:05 11165000
2023-03-28 01:34:57 38043 3892952  3.1  2.8 00:00:05 11165000
2023-03-28 01:34:58 38043 3892952  3.1  2.8 00:00:05 11165000
2023-03-28 01:34:59 38043 3892952  3.1  2.8 00:00:05 11165000
2023-03-28 01:35:00 38043 3892952  3.1  2.8 00:00:05 11165000
2023-03-28 01:35:01 38043 3892952  3.1  2.8 00:00:05 11165000
2023-03-28 01:35:02 38043 3892952  3.0  2.8 00:00:05 10805000
2023-03-28 01:35:03 38043 3892952  3.0  2.8 00:00:05 10805000
2023-03-28 01:35:04 38043 3892952  3.0  2.8 00:00:05 10805000
2023-03-28 01:35:05 38043 3892952  3.0  2.8 00:00:05 10805000
2023-03-28 01:35:06 38043 3892952  3.0  2.8 00:00:05 10805000
2023-03-28 01:35:07 38043 3892952  3.0  2.8 00:00:05 10805000
2023-03-28 01:35:09 38043 3892952  3.0  2.8 00:00:05 10805000
2023-03-28 01:35:10 38043 3892952  2.9  2.8 00:00:05 10445000
2023-03-28 01:35:11 38043 3892952  2.9  2.8 00:00:05 10445000
2023-03-28 01:35:12 38043 3892952  2.9  2.8 00:00:05 10445000
2023-03-28 01:35:13 38043 3892952  2.9  2.8 00:00:05 10445000
